1;Grodzisko/ 3 MAJA, Dπbrowskiego;14;"Umocnienia Grodziska wraz z elementami strukturalnymi (majdan fortu Grodzisko, Bastion Jerozolimski, Wysokie Czolo Kurkowe, Wysokie Skrzyd≥o Kurkowe,. Niskie Czolo Kurkowe, Luneta Senarmomt""a, Zbrojownia";474
3257;MIRAUA Stefana;01/2/3;dom w zespole;
3258;MIRAUA Stefana;04/5/6;dom w zespole;
3259;MIRAUA Stefana;07/8/9;dom w zespole;
3260;MIRAUA Stefana;10/11/12;dom w zespole;
3261;MISZEWSKIEGO ks. Leona;2/3;dom;
3262;MISZEWSKIEGO ks. Leona;18;dom;
3263;MISZEWSKIEGO/ WYSPIA—SKIEGO;;wiadukt;
3264;M£ODZIEØY POLSKIEJ;3;dom;
3265;M£ODZIEØY POLSKIEJ;4;dom;
3266;M£ODZIEØY POLSKIEJ;7;dom;
3267;M£ODZIEØY POLSKIEJ;11;dom;
3268;MODRA;14;dom;
3269;MODRA;22;dom;
3270;MODRA;23;dom;
3271;MODRA;34;dom;
3272;MODRA;36;dom;
3273;MODRA;38;dom;
3274;MODRA;45/47;dom;
3275;MODRA;48;dom;
3276;MODRZEWSKIEGO Andrzeja;2;dom ;
3277;MODRZEWSKIEGO Andrzeja;3;dom ;
3278;MODRZEWSKIEGO Andrzeja;5;dom, d. dworzec ;
3279;MODRZEWSKIEGO Andrzeja;7;dom w zespole;
3280;MODRZEWSKIEGO Andrzeja;8;dom w zespole;
3281;MODRZEWSKIEGO Andrzeja;9;dom w zespole;
3282;MODRZEWSKIEGO Andrzeja;10;dom w zespole;
3283;MODRZEWSKIEGO Andrzeja;11;dom w zespole;
3284;MODRZEWSKIEGO Andrzeja;12;dom w zespole;
3285;MODRZEWSKIEGO Andrzeja;13;dom w zespole;
3286;MONIUSZKI Stanis≥awa;4;dom w zespole;
3287;MONIUSZKI Stanis≥awa;6;dom w zespole;
3288;MONIUSZKI Stanis≥awa;8;dom w zespole;
3289;MONIUSZKI Stanis≥awa;10;dom w zespole;
3290;MONIUSZKI Stanis≥awa;12;dom w zespole;
3291;MONIUSZKI Stanis≥awa;12;dom w zespole;
3292;MONIUSZKI Stanis≥awa;14;dom w zespole;
3293;MONIUSZKI Stanis≥awa;16;dom w zespole;
3294;MONIUSZKI Stanis≥awa;18;dom w zespole;
3295;MONIUSZKI Stanis≥awa;20;dom w zespole;
3296;MONIUSZKI Stanis≥awa;22;dom w zespole;
3297;MONIUSZKI Stanis≥awa;24;dom w zespole;
3298;MONIUSZKI Stanis≥awa;26;dom w zespole;
3299;MONIUSZKI Stanis≥awa;28;dom w zespole;
3300;MONIUSZKI Stanis≥awa;30;dom w zespole;
3301;MONIUSZKI Stanis≥awa;32;dom w zespole;
3302;MONIUSZKI Stanis≥awa;34;dom w zespole;
3303;MONIUSZKI Stanis≥awa;36;dom w zespole;
3304;MONIUSZKI Stanis≥awa;37;dom w zespole;
3305;MONIUSZKI Stanis≥awa;38;dom w zespole;
3306;MONIUSZKI Stanis≥awa;39;dom;
3307;MORENOWA;2/4;dom;
3308;MOSTEK;32;dom;
3309;MOSTEK;34;dom;
3310;MOSTEK;36;dom;
3311;MOSTEK;38;dom;
3312;MOSTEK;40;dom;
3313;MOSTOWA;7;dom;
3314;MOSTOWA;7;dom;
3315;MOSTOWA;11;dom;
3316;MOSTOWA;13;dom;
3317;MOT£AWSKA;2;"d. spichlerz: ""Turek""";581
3318;MOT£AWSKA;6;"d. spichlerz: ""Stara Pakownia""";
3319;MOT£AWSKA;6 k.;"d. spichlerz: ""Szara GÍú""";
3320;MOT£AWSKA;14;Stπgwie Mleczne ;431
3321;MOT£AWSKA;99.113/2;pozosta≥oúci MOSTU SZOPY na przed≥uzeniu ulicy Øytniej;
3322;MåCIWOJA II;4;dom;
3323;MåCIWOJA II;14;dom;
3324;MåCIWOJA II;22;dom;
3325;MåCIWOJA II;24;dom;
3326;MåCIWOJA II;26;dom;
3327;MåCIWOJA II;27;dom;
3328;MåCIWOJA II;28;dom;
3329;MåCIWOJA II;32;dom;
3330;MåCIWOJA II;33;dom;
3331;MåCIWOJA II;34;dom;
3332;MåCIWOJA II;40;dom;
3333;MåCIWOJA II;42;dom;
3334;MåCIWOJA II;62;budynek mieszkalny;
3335;MYLNA;2;dom;
3336;MYLNA;3;dom;
3337;MYåLIWSKA ( d. Migowo GÛrne 6);40;zespÛ≥ parkowo - ogrodowy;984
3338;NA PODMURZU ;2;Baszta na Podmurzu;466
3339;NA STOKU;3 A;dom;
3340;NA STOKU;3 B;dom;
3341;NA STOKU;3 C;dom;
3342;NA STOKU;3 D;dom;
3343;NA STOKU;7;dom;
3344;NA STOKU;8-9;dom;
3345;NA STOKU;10;dom;
3346;NA STOKU;11;dom;
3347;NA STOKU;12;dom;
3348;NA STOKU;12 B;dom;
3349;NA STOKU;12 C;dom;
3350;NA STOKU;12 D;dom;
3351;NA STOKU;14;dom;
3352;NA STOKU;15;dom;
3353;NA STOKU;23;dom;
3354;NA STOKU;25;dom;
3355;NA STOKU;35;dom;
3356;NA STOKU;36;dom;
3357;NA STOKU;37;dom;
3358;NA STOKU;38;dom;
3359;NA STOKU;39;dom;
3360;NA STOKU;40;dom;
3361;NA STOKU;40 A;dom;
3362;NA STOKU;40 B;dom;
3363;NA STOKU;41;dom;
3364;NA STOKU;41 A;dom;
3365;NA STOKU;42;dom;
3366;NA STOKU;42 A;dom;
3367;NA STOKU;45;dom;
3368;NA WZG”RZU;6;kolonia domÛw ;
3369;NA WZG”RZU;7;kolonia domÛw ;
3370;NA WZG”RZU;8;kolonia domÛw ;
3371;NA WZG”RZU;9;kolonia domÛw ;
3372;NA WZG”RZU;10;kolonia domÛw ;
3373;NA WZG”RZU;12;kolonia domÛw ;
3374;NA WZG”RZU;14;kolonia domÛw ;
3375;NA WZG”RZU;15;kolonia domÛw ;
3376;NA WZG”RZU;18;kolonia domÛw ;
3377;NA WZG”RZU;20;kolonia domÛw ;
3378;NA WZG”RZU;25;kolonia domÛw ;
3379;NA WZG”RZU;27;kolonia domÛw ;
3380;NA WZG”RZU;28;kolonia domÛw ;
3381;NA WZG”RZU;29;kolonia domÛw ;
3382;NA WZG”RZU;32;kolonia domÛw ;
3383;NA WZG”RZU;34;kolonia domÛw ;
3384;NA WZG”RZU;36;kolonia domÛw ;
3385;NA WZG”RZU;38;kolonia domÛw ;
3386;NA ZASP ;5;kamienica;
3387;NA ZASP ;9;kamienica;
3388;NA ZASP ;10;kamienica;
3389;NA ZASP ;18/19;kamienica;
3390;NA ZASP ;20/20 A/20 B/20 C;kamienica;
3391;NA ZASP ;23;kamienica;
3392;NA ZASP ;23 A;kamienica;
3393;NA ZASP ;24;kamienica;
3394;NA ZASP ;25;kamienica;
3395;NA ZASP ;25 A;kamienica;
3396;NA ZASP ;28;kamienica;
3397;NA ZASP ;30 A;kamienica;
3398;NA ZASP ;32 A;kamienica;
3399;NA ZASP ;32 B;kamienica;
3400;NA ZASP ;32 C;kamienica;
3401;NA ZASP ;32 D;kamienica;
3402;NA ZASP ;33;kamienica;
3403;NA ZASP ;33 C;kamienica;
3404;NA ZASP ;34 B;kamienica;
3405;NA ZASP ;34 C;kamienica;
3406;NA ZASP ;34 D;kamienica;
3407;NA ZASP ;41 B;kamienica;
3408;NA ZASP ;41 B;oficyna kamienicy;
3409;NA ZASP ;42;kamienica;
3410;NA ZASP ;44;kamienica;
3411;NA ZASP ;45;kamienica;
3412;NA ZASP ;45 B;kamienica;
3413;NA ZASP ;50;kamienica;
3414;NA ZASP ;51;kamienica;
3415;NA ZASP ;52;kamienica;
3416;NA ZASP ;52 A;kamienica;
3417;NA ZASP ;53;kamienica;
3418;NA ZASP ;53;kamienica;
3419;NA ZASP ;55/56;kamienica;
3420;NA ZASP ;57;budynek straøy poøarnej;
3421;NA ZBOCZU;29;dom;
3422;NA ZBOCZU;38;dom;
3423;NA ZBOCZU;47;dom;
3424;NA ZBOCZU;49;dom;
3425;NA ZBOCZU;54;dom;
3426;NA ZBOCZU;79;dom;
3427;NA ZBOCZU;86;dom;
3428;NA ZBOCZU;97;dom;
3429;NA ZBOCZU;106;dom;
3430;NAD JAREM;1/2;kolonia domÛw ;
3431;NAD JAREM;3/4;kolonia domÛw ;
3432;NAD JAREM;9/10;kolonia domÛw ;
3433;NAD JAREM;11/12;kolonia domÛw ;
3434;NAD JAREM;36/37;kolonia domÛw ;
3435;NAD STAWEM;8;dom;
3436;NAD JAREM;9;dom;
3437;NAD STAWEM;10;dom;
3438;NAD STAWEM;12;dom;
3439;NADMORSKA;9;dom;
3440;NADMORSKA;9;dom;
3441;NADWIåLA—SKA;001;chata rybacka;
3442;NADWIåLA—SKA;002;chata rybacka;
3443;NADWIåLA—SKA;002 A;budynek gospodarczy;
3444;NADWIåLA—SKA;003;chata rybacka ;
3445;NADWIåLA—SKA;005;dom;
3446;NADWIåLA—SKA;011;dom;
3447;NADWIåLA—SKA;011;dom;
3448;NADWIåLA—SKA;015;dom;
3449;NADWIåLA—SKA;016;dom;
3450;NADWIåLA—SKA;021;dom;
3451;NADWIåLA—SKA;026;dom;
3452;NADWIåLA—SKA;051;dom;
3453;NADWIåLA—SKA;054;dom;
3454;NADWIåLA—SKA;071;dom i budnek w g≥Íbi dzia≥ki;
3455;NADWIåLA—SKA;073;dom i budnek w g≥Íbi dzia≥ki;
3456;NADWIåLA—SKA;075;dom i budnek w g≥Íbi dzia≥ki;
3457;NADWIåLA—SKA;079;dom i budnek w g≥Íbi dzia≥ki;
3458;NADWIåLA—SKA;081;dom i budnek w g≥Íbi dzia≥ki;
3459;NADWIåLA—SKA;083;dom;
3460;NADWIåLA—SKA;084;dom;
3461;NADWIåLA—SKA;085;chata rybacka ?;
3462;NADWIåLA—SKA;086;chata rybacka ?;
3463;NADWIåLA—SKA;090;dom,;
3464;NADWIåLA—SKA;090;dom,;
3465;NADWIåLA—SKA;092;dom,;
3466;NADWIåLA—SKA;093;dom i budnek w g≥Íbi dzia≥ki;
3467;NADWIåLA—SKA;096;chata rybacka ?;
3468;NADWIåLA—SKA;097;chata rybacka ?;
3469;NADWIåLA—SKA;098;chata rybacka ?;
3470;NADWIåLA—SKA;103;dom;
3471;NADWIåLA—SKA;107;dom;
3472;NADWIåLA—SKA;108;dom;
3473;NADWIåLA—SKA;108;dom;
3474;NADWIåLA—SKA;111;dom;
3475;NADWIåLA—SKA;117;dom;
3476;NADWIåLA—SKA;122;dom;
3477;NADWIåLA—SKA;124;chata rybacka ?;
3478;NADWIåLA—SKA;125;chata rybacka ?;
3479;NADWIåLA—SKA;126;chata rybacka ?;
3480;NADWIåLA—SKA;127;chata rybacka ?;
3481;NADWIåLA—SKA;128;chata rybacka ?;
3482;NADWIåLA—SKA;130;dom;
3483;NADWODNA;2 A/B;dom;
3484;NADWODNA;4;dom;
3485;NARCYZOWA;70;dom;
3486;NARUTOWICZA Gabriela;11/12;"zespÛ≥ budowy Politechniki GdaÒskiej ( gmach G≥Ûwny; Instytut Chemi; Instytut Elektrotechniczny, laboratorium maszynowe z kot≥owniπ; budynek gospodarczy- sk≥ad wÍgla, dom palacza, mieszkanie portiera, mieszkanie mechanika; umywalnia oraz aleja lipowa)";969
3487;NIECA£A;1;dom;
3488;NIECA£A;7;dom;
3489;NIECA£A;13;dom;
3490;NIEGOWO ;3;dom;
3491;NIEGOWO ;3;budynek gospodarczy;
3492;NIEGOWO ;4;dom;
3493;NIEGOWO ;5;dom;
3494;NIEGOWO ;5;budynek gospodarczy;
3495;NIEGOWO ;7;dom;
3496;NIEGOWO ;7;budynek gospodarczy;
3497;NIEGOWO ;7;budynek gospodarczy;
3498;NIEGOWO ;8;dom;
3499;NIEGOWO ;8;budynek gospodarczy;
3500;NIEGOWO ;10;dom;
3501;NIEGOWO ;10;budynek gospodarczy;
3502;NIEGOWO ;10;budynek gospodarczy;
3503;NIEGOWO ;12;dom;
3504;NIEGOWO ;12;budynek gospodarczy;
3505;NIEGOWO ;13;dom;
3506;NIEGOWO ;13;budynek gospodarczy;
3507;NIEGOWO ;15;dom;
3508;NIEMCEWICZA Juliana;1;dom;
3509;NIEMCEWICZA Juliana;2;dom;
3510;NIEMCEWICZA Juliana;3;dom;
3511;NIEMCEWICZA Juliana;4;dom;
3512;NIEMCEWICZA Juliana;5;dom;
3513;NIEMCEWICZA Juliana;6;dom;
3514;NIEMCEWICZA Juliana;7;dom;
3515;NIEMCEWICZA Juliana;8;dom;
3516;NIEMCEWICZA Juliana;9;dom;
3517;NIEMCEWICZA Juliana;10;dom;
3518;NIEMCEWICZA Juliana;11;dom;
3519;NIEMCEWICZA Juliana;12;dom;
3520;NIEMCEWICZA Juliana;13;dom;
3521;NIEMCEWICZA Juliana;14;dom;
3522;NIEMCEWICZA Juliana;15;dom;
3523;NIEMCEWICZA Juliana;16;dom;
3524;NIEMCEWICZA Juliana;17;dom;
3525;NIEMCEWICZA Juliana;18;dom;
3526;NIEMCEWICZA Juliana;19;dom;
3527;NIEMCEWICZA Juliana;20;dom;
3528;NIEMCEWICZA Juliana;22;dom;
3529;NIEMCEWICZA Juliana;23;dom;
3530;NIEMCEWICZA Juliana;24;dom;
3531;NIEMCEWICZA Juliana;25;dom;
3532;NIEMCEWICZA Juliana;26;dom;
3533;NIEMCEWICZA Juliana;27;dom;
3534;NIEMCEWICZA Juliana;28;dom;
3535;NIEMCEWICZA Juliana;30;dom;
3536;NISKA;9;dom;
3537;NIWKI;1;dom;
3538;NIWKI;2;dom;
3539;NIWKI;3;dom;
3540;NIWKI;4/6;dom;
3541;NIWKI;8;dom;
3542;NIWKI;10;dom;
3543;NOAKOWSKIEGO Stanis≥awa;4;dom;
3544;NOAKOWSKIEGO Stanis≥awa;5;dom;
3545;NOAKOWSKIEGO Stanis≥awa;7;dom;
3546;NOAKOWSKIEGO Stanis≥awa;8;dom;
3547;NOAKOWSKIEGO Stanis≥awa;9;willa, Konsulat Generalny Republiki Bialorusi w GdaÒsku;
3548;NORBLINA Piotra;27;dom;
3549;NOWE OGRODY;03-5;d. szpital diakonisek, obecnie zespÛ≥ Szpitala WojewÛdzkiego;
3550;NOWE OGRODY;03-5;d. szpital diakonisek, obecnie zespÛ≥ Szpitala WojewÛdzkiego - drugi budynek;
3551;NOWE OGRODY;03-5;d. szpital diakonisek, obecnie zespÛ≥ Szpitala WojewÛdzkiego - trzeci budynek (kaplica);
3552;NOWE OGRODY;03-5;d. szpital diakonisek, obecnie zespÛ≥ Szpitala WojewÛdzkiego - garaø;
3553;NOWE OGRODY;06;d. szpital diakonisek, obecnie zespÛ≥ Szpitala WojewÛdzkiego;
3554;NOWE OGRODY;07;dom  dr  G.L.Tornwaldta wraz z dzia≥ka i odcinkiem muru;1799
3555;NOWE OGRODY;27;Budynek Komisariatu Generalnego RP;1060
3556;NOWE OGRODY;28/29;Budynek Sπdu Apelacyjnego z brama i dzia≥kπ;1847
3557;NOWE OGRODY;30-34;Budynek Sπdu WojewÛdzkiego;1058
3558;NOWICKIEGO Edmunda bpa;1;zespÛ≥ pocysterski: d. szafarnia [budynek Kurii Metropolilarnej];64
3559;NOWICKIEGO Edmunda bpa;2;zespÛ≥ pocysterski: d. spichlerz klasztorny [budynek Domu Diecezjalnego im. JP II];
3560;NOWICKIEGO Edmunda bpa;4;zespÛ≥ pocysterski: koúciÛ≥ pocysterski z klasztorem (katedra oliwska)];64
3561;NOWICKIEGO Edmunda bpa;4;zespÛ≥ pocysterski: mur klasztorny;64
3562;NOWINY;2;zespÛ≥ dworsko parkowy/dwÛr- park lodownia, dwa budynki gospodarcze ;718
3563;NOWINY;36;dom;
3564;NOWINY;38;dom;
3565;NOWINY;42;dom;
3566;NOWINY;61;dom;
3567;NOWINY;75;dom i budynek w g≥Íbi dzia≥ki;
3568;NOWINY;76;dom;
3569;NOWY PORT;;Uk≥ad urbanistyczny osady portowej w NOWYM PORCIE;1013
3570;NOWOWIEJSKIEGO Feliksa;1;dom;
3571;NOWOWIEJSKIEGO Feliksa;2;dom;
3572;NOWOWIEJSKIEGO Feliksa;3;dom;
3573;NOWOWIEJSKIEGO Feliksa;4;dom;
3574;NOWOWIEJSKIEGO Feliksa;5;dom;
3575;NOWOWIEJSKIEGO Feliksa;6;dom;
3576;NOWOWIEJSKIEGO Feliksa;7;dom;
3577;NOWOWIEJSKIEGO Feliksa;8;dom;
3578;NOWOWIEJSKIEGO Feliksa;9;dom;
3579;NOWOWIEJSKIEGO Feliksa;10;dom;
3580;NOWOWIEJSKIEGO Feliksa;11;dom;
3581;NOWOWIEJSKIEGO Feliksa;12;dom;
3582;NOWOWIEJSKIEGO Feliksa;13;dom;
3583;NOWOWIEJSKIEGO Feliksa;15;dom;
3584;NOWOWIEJSKIEGO Feliksa;16;dom;
3585;OBRO—C”W WESTERPLATTE;3;dom;
3586;OBRO—C”W WESTERPLATTE;4;dom;
3587;OBRO—C”W WESTERPLATTE;5;dom z oficynπ;
3588;OBRO—C”W WESTERPLATTE;6;dom;
3589;OBRO—C”W WESTERPLATTE;7;dom;
3590;OBRO—C”W WESTERPLATTE;8;dom;
3591;OBRO—C”W WESTERPLATTE;9;dom;
3592;OBRO—C”W WESTERPLATTE;10;dom;
3593;OBRO—C”W WESTERPLATTE;11;dom;
3594;OBRO—C”W WESTERPLATTE;12;dom;
3595;OBRO—C”W WESTERPLATTE;13;kamienica;1317
3596;OBRO—C”W WESTERPLATTE;14;dom;
3597;OBRO—C”W WESTERPLATTE;15;dom;
3598;OBRO—C”W WESTERPLATTE;16;dom z oficynπ;
3599;OBRO—C”W WESTERPLATTE;17;dom;
3600;OBRO—C”W WESTERPLATTE;18;dom;
3601;OBRO—C”W WESTERPLATTE;19;dom;
3602;OBRO—C”W WESTERPLATTE;22;dom;
3603;OBRO—C”W WESTERPLATTE;23;dom;
3604;OBRO—C”W WESTERPLATTE;24;dom;
3605;OBRO—C”W WESTERPLATTE;28;dom;
3606;OBRO—C”W WESTERPLATTE;31;dom;
3607;OBRO—C”W WESTERPLATTE;33;dom;
3608;OBRO—C”W WESTERPLATTE;34;dom;
3609;OBRO—C”W WESTERPLATTE;35;kamienica;1315
3610;OBRO—C”W WESTERPLATTE;36;dom;
3611;OBRO—C”W WESTERPLATTE;37;kamienica;1318
3612;OBYWATELSKA;1;dom;
3613;ODRZA—SKA;01;dom;
3614;ODRZA—SKA;2;dom;
3615;ODRZA—SKA;03;dom;
3616;ODRZA—SKA;05;dom;
3617;ODRZA—SKA;06;dom;
3618;ODRZA—SKA;07;dom;
3619;ODRZA—SKA;09;dom;
3620;ODRZA—SKA;10;dom;
3621;ODRZA—SKA;11;dom;
3622;ODRZA—SKA;12;dom;
3623;ODRZA—SKA;13;dom;
3624;ODRZA—SKA;14;dom;
3625;ODRZA—SKA;15;dom;
3626;ODRZA—SKA;16;dom;
3627;ODRZA—SKA;17;dom;
3628;ODRZA—SKA;18;dom;
3629;ODRZA—SKA;19;dom;
3630;ODRZA—SKA;20;dom;
3631;ODRZA—SKA;21;dom;
3632;ODRZA—SKA;22;dom;
3633;ODRZA—SKA;24;dom;
3634;ODRZA—SKA;26;dom;
3635;ODRZA—SKA;28;dom;
3636;ODRZA—SKA;29;dom;
3637;ODRZA—SKA;30;dom;
3638;OGARNA ;26;kamienica z oficynπ od ul. Za Murami 29. ;1602
3639;OGARNA/ Za Murami;;Baszta Naroøna;193
3640;OGARNA;1;kamienica;
3641;OGARNA;3 (3/4);kamienica;678
3642;OGARNA;4 (3/4);kamienica;
3643;OGARNA;5 (5/6);kamienica;
3644;OGARNA;6 (5/6);kamienica;
3645;OGARNA;7;kamienica;
3646;OGARNA;8/9;kamienica;
3647;OGARNA;8/9;kamienica;
3648;OGARNA;10;kamienica;
3649;OGARNA;10;kamienica;
3650;OGARNA;11 (11/12);kamienica;679
3651;OGARNA;11/12;kamienica;
3652;OGARNA;17 (15/19A);kamienica;
3653;OGARNA;18 (15/19A);KAMIENNICA;
3654;OGARNA;19 (15/19A);kamienica;
3655;OGARNA;15 (15/19B);KAMIENNICA;
3656;OGARNA;16 (15/19B);KAMIENNICA;
3657;OGARNA;16 (15/19C);KAMIENNICA;
3658;OGARNA;16 (15/19C);KAMIENNICA;
3659;OGARNA;16 (15/19C);KAMIENNICA;
3660;OGARNA;20 (20/21);KAMIENNICA;
3661;OGARNA;21 (20/21);KAMIENNICA;
3662;OGARNA;22 (22/23);KAMIENNICA;
3663;OGARNA;23 (22/23);KAMIENNICA;
3664;OGARNA;24 (24/25);KAMIENNICA;
3665;OGARNA;25 (24/25);KAMIENNICA;
3666;OGARNA;27/28;KAMIENNICA;1600
3667;OGARNA;29;KAMIENNICA;680
3668;OGARNA;30;KAMIENNICA;681
3669;OGARNA;31 (31/32);KAMIENNICA;682
3670;OGARNA;32 (33/34);KAMIENNICA;
3671;OGARNA;33 (33/34);KAMIENNICA;
3672;OGARNA;34 (35/36);KAMIENNICA;
3673;OGARNA;36 (35/36);KAMIENNICA;
3674;OGARNA;37;KAMIENNICA;
3675;OGARNA;39 (39/41);KAMIENNICA;
3676;OGARNA;40 (39/41);KAMIENNICA;
3677;OGARNA;41 (39/41);KAMIENNICA;
3678;OGARNA;42 (42/43);KAMIENNICA;
3679;OGARNA;43;KAMIENNICA;683
3680;OGARNA;44;KAMIENNICA;684
3681;OGARNA;44 (44/45);kamienica;
3682;OGARNA;45 (44/45);kamienica;
3683;OGARNA;46 (46/47);kamienica;
3684;OGARNA;48 (48/50);kamienica;
3685;OGARNA;49 (48/50);KAMIENNICA;
3686;OGARNA;50 (48/50);KAMIENNICA;
3687;OGARNA;51 (51/52);KAMIENNICA;
3688;OGARNA;52 (51/52);KAMIENNICA;
3689;OGARNA;56 d. 54;brama przy Pa≥acu M≥odzieøy;
3690;OGARNA;57 (57/59);KAMIENNICA;
3691;OGARNA;58 (57/59);KAMIENNICA;685
3692;OGARNA;59 (57/59);KAMIENNICA;
3693;OGARNA;60 (60/61);KAMIENNICA;
3694;OGARNA;61 (60/61);KAMIENNICA;
3695;OGARNA;62 (62/63);KAMIENNICA;
3696;OGARNA;63 (62/63);KAMIENNICA;
3697;OGARNA;64 (64/65);KAMIENNICA;
3698;OGARNA;65 (64/65);KAMIENNICA;686
3699;OGARNA;66 (66/67);KAMIENNICA;
3700;OGARNA;67 (66/67);KAMIENNICA;
3701;OGARNA;68;KAMIENNICA;
3702;OGARNA;68;KAMIENNICA;
3703;OGARNA;72;Brama Krowia;448
3704;OGARNA;73 (73/75);KAMIENNICA;
3705;OGARNA;74 (73/75);KAMIENNICA;
3706;OGARNA;75 (73/75);KAMIENNICA;
3707;OGARNA;76 (76/77);KAMIENNICA;
3708;OGARNA;77 (76/77);KAMIENNICA;
3709;OGARNA;78 (78/79);KAMIENNICA;
3710;OGARNA;79 (78/79);KAMIENNICA;
3711;OGARNA;81 (80/82);KAMIENNICA;
3712;OGARNA;82 (80/82);KAMIENNICA;
3713;OGARNA;80 (80/82);KAMIENNICA;
3714;OGARNA;83 (83/84);KAMIENNICA;
3715;OGARNA;84 (83/84);KAMIENNICA;
3716;OGARNA;85 (85/86);KAMIENNICA;
3717;OGARNA;86 (85/86);KAMIENNICA;
3718;OGARNA;87 (87/88);KAMIENNICA;
3719;OGARNA;88 (89/90);KAMIENNICA;
3720;OGARNA;91 (91/92);KAMIENNICA;
3721;OGARNA;93 (93/94);KAMIENNICA;
3722;OGARNA;95;KAMIENNICA;
3723;OGARNA;96;KAMIENNICA;
3724;OGARNA;97;KAMIENNICA;
3725;OGARNA;99 (99/100);KAMIENNICA;
3726;OGARNA;100 (99/100);KAMIENNICA;
3727;OGARNA;123;KAMIENNICA;
3728;OGARNA;72 k.;KAMIENNICA;
3729;OGARNA;85 (85/86);KAMIENNICA;
3730;OGARNA;87 (87/88);KAMIENNICA;
3731;OGARNA;89 (89/90);KAMIENNICA;
3732;OGARNA;91 (91/92);KAMIENNICA;
3733;OGARNA;93 (93/94);KAMIENNICA;
3734;OGARNA;95;KAMIENNICA;
3735;OGARNA;96;KAMIENNICA;
3736;OGARNA;97;KAMIENNICA;
3737;OGARNA;101 (101/102);KAMIENNICA;
3738;OGARNA;102 (101/102);KAMIENNICA;
3739;OGARNA;103 (103/105);KAMIENNICA;
3740;OGARNA;105 (103/105);KAMIENNICA;
3741;OGARNA;106 (106/108);KAMIENNICA;
3742;OGARNA;107 (103/108);KAMIENNICA;
3743;OGARNA;107;KAMIENNICA;
3744;OGARNA;109 (109/110);KAMIENNICA;
3745;OGARNA;110 (109/110);KAMIENNICA;
3746;OGARNA;111 (111/112);KAMIENNICA;
3747;OGARNA;112 (111/112);KAMIENNICA;
3748;OGARNA;113;KAMIENNICA;
3749;OGARNA;114 (114/115);KAMIENNICA;
3750;OGARNA;116;KAMIENNICA;
3751;OGARNA;116;KAMIENNICA;
3752;OGARNA;117 (117/118);KAMIENNICA;
3753;OGARNA;118 (117/118);KAMIENNICA;
3754;OGARNA;119;KAMIENNICA;
3755;OGARNA;120;KAMIENNICA;
3756;OGARNA;121 (121/122);KAMIENNICA;
3757;OGARNA;122 (121/122);KAMIENNICA;
3758;OGARNA;123;KAMIENNICA;687
3759;OGARNA;124 (124/125);KAMIENNICA;
3760;OGARNA;125 (124/125);KAMIENNICA;
3761;OGARNA;126;KAMIENNICA;
3762;OGARNA;127;KAMIENNICA;
3763;OGARNA;128;KAMIENICA;
3764;OGI—SKIEGO Micha≥a;12;dom;
3765;OGI—SKIEGO Micha≥a;13;dom;
3766;OGRODOWA;2;dom;
3767;OGRODOWA;2 k.;wiadukt k. Ogrodowa 2 i nasyp kolejowy;
3768;OJCOWSKA;1;dom;
3769;OJCOWSKA;2;dom;
3770;OJCOWSKA;3;dom;
3771;OJCOWSKA;4;dom;
3772;OJCOWSKA;5;dom;
3773;OJCOWSKA;6;dom;
3774;OJCOWSKA;7;dom;
3775;OJCOWSKA;8;dom;
3776;OJCOWSKA;9;dom;
3777;OJCOWSKA;10;dom;
3778;OJCOWSKA;11;dom;
3779;OJCOWSKA;12;dom;
3780;OJCOWSKA;13;dom;
3781;OJCOWSKA;14;dom;
3782;OJCOWSKA;15;dom;
3783;OJCOWSKA;16;dom;
3784;OJCOWSKA;17;dom;
3785;OJCOWSKA;18;dom;
3786;OJCOWSKA;19;dom;
3787;OJCOWSKA;20;dom;
3788;OJCOWSKA;21;dom;
3789;OJCOWSKA;22;dom;
3790;OJCOWSKA;23;dom;
3791;OJCOWSKA;24;dom;
3792;OJCOWSKA;25;dom;
3793;OJCOWSKA;26;dom;
3794;OJCOWSKA;27;dom;
3795;OJCOWSKA;28;dom;
3796;OJCOWSKA;29;dom;
3797;OJCOWSKA;30;dom;
3798;OJCOWSKA;31;dom;
3799;OJCOWSKA;32;dom;
3800;OJCOWSKA;33;dom;
3801;OJCOWSKA;34;dom;
3802;OJCOWSKA;35;dom;
3803;OJCOWSKA;36;dom;
3804;OJCOWSKA;37;dom;
3805;OJCOWSKA;38;dom;
3806;OJCOWSKA;39;dom;
3807;OJCOWSKA;40;dom;
3808;OJCOWSKA;41;dom;
3809;OJCOWSKA;42;dom;
3810;OJCOWSKA;43;dom;
3811;OJCOWSKA;44;dom;
3812;OJCOWSKA;45;dom;
3813;OJCOWSKA;46;dom;
3814;OJCOWSKA;47;dom;
3815;OJCOWSKA;48;dom;
3816;OJCOWSKA;49;dom;
3817;OJCOWSKA;50;dom;
3818;OJCOWSKA;51;dom;
3819;OJCOWSKA;52;dom;
3820;OJCOWSKA;53;dom;
3821;OJCOWSKA;54;dom;
3822;OJCOWSKA;55;dom;
3823;OJCOWSKA;56;dom;
3824;OJCOWSKA;57;dom;
3825;OJCOWSKA;58;dom;
3826;OJCOWSKA;59;dom;
3827;OJCOWSKA;60;dom;
3828;OJCOWSKA;61;dom;
